Power station,# units,Net capacity (MWe),Country,Location,Refs
LaSalle,2,"2,238",United States,41°14′44″N 88°40′9″W﻿ / ﻿41.24556°N 88.66917°W,
Leibstadt,1,"1,190",Switzerland,47°36′11″N 08°11′05″E﻿ / ﻿47.60306°N 8.18472°E,
Lemoniz,2,"1,800",Spain,43°26′00″N 02°52′21″W﻿ / ﻿43.43333°N 2.87250°W,
Leningrad,3,"2,775[note 25]",Russia,59°50′50″N 29°02′37″E﻿ / ﻿59.84722°N 29.04361°E,
Leningrad II,1,"1,085[note 26]",Russia,59°49′50″N 29°3′26″E﻿ / ﻿59.83056°N 29.05722°E
Limerick,2,"2,264",United States,40°13′36″N 75°35′14″W﻿ / ﻿40.22667°N 75.58722°W,
Ling Ao,4,"3,876",China,22°36′17″N 114°33′5″E﻿ / ﻿22.60472°N 114.55139°E,[3][4]
McGuire,2,"2,200",United States,35°25′57″N 80°56′54″W﻿ / ﻿35.43250°N 80.94833°W,
Maanshan,2,"1,841",Taiwan,21°57′29″N 120°45′6″E﻿ / ﻿21.95806°N 120.75167°E,[9]
Millstone,2,"2,102[note 27]",United States,41°18′43″N 72°10′07″W﻿ / ﻿41.31194°N 72.16861°W,
Neckarwestheim,2,"1,310[note 28]",Germany,49°02′30″N 09°10′30″E﻿ / ﻿49.04167°N 9.17500°E,
Nine Mile Point,2,"1,764",United States,43°31′15″N 76°24′25″W﻿ / ﻿43.52083°N 76.40694°W,
Ningde,4,"4,072",China,27°02′46″N 120°17′18″E﻿ / ﻿27.04611°N 120.28833°E,[3][4]
Nogent,2,"2,620",France,48°30′55″N 03°31′04″E﻿ / ﻿48.51528°N 3.51778°E,[1]
North Anna,2,"1,875",United States,38°03′38″N 77°47′22″W﻿ / ﻿38.06056°N 77.78944°W,
Novovoronezh I,3,"1,720[note 29]",Russia,51°16′30″N 39°12′00″E﻿ / ﻿51.27500°N 39.20000°E,
Novovoronezh II,1,"1,114[note 30]",Russia,59°49′50″N 29°3′26″E﻿ / ﻿59.83056°N 29.05722°E,
Oconee,3,"2,538",United States,34°47′38″N 82°53′53″W﻿ / ﻿34.79389°N 82.89806°W,
Ōi,4,"4,494[note 31]",Japan,35°32′26″N 135°39′07″E﻿ / ﻿35.54056°N 135.65194°E,[5]
Olkiluoto,2,"1,740[note 32]",Finland,61°14′13″N 21°26′27″E﻿ / ﻿61.23694°N 21.44083°E,
Onagawa,3,"2,089",Japan,38°24′04″N 141°29′59″E﻿ / ﻿38.40111°N 141.49972°E,[5]
Oskarshamn,1,"1,400[note 33]",Sweden,57°24′56″N 16°40′16″E﻿ / ﻿57.41556°N 16.67111°E,
Paks,4,"1,889",Hungary,46°34′21″N 18°51′15″E﻿ / ﻿46.57250°N 18.85417°E,
Palo Verde,3,"3,942",United States,33°23′21″N 112°51′54″W﻿ / ﻿33.38917°N 112.86500°W,
Paluel,4,"5,320",France,49°51′29″N 00°38′08″E﻿ / ﻿49.85806°N 0.63556°E,[1]
Penly,2,"2,660",France,49°58′36″N 01°12′43″E﻿ / ﻿49.97667°N 1.21194°E,[1]
Peach Bottom,2,"2,234[note 34]",United States,39°45′30″N 76°16′05″W﻿ / ﻿39.75833°N 76.26806°W,
Perry,1,"1,240",United States,41°48′03″N 81°08′36″W﻿ / ﻿41.80083°N 81.14333°W,
Philippsburg,2,"1,402[note 35]",Germany,49°15′09″N 08°26′11″E﻿ / ﻿49.25250°N 8.43639°E,
Pickering,6,"3,094[note 36]",Canada,43°48′42″N 79°03′57″W﻿ / ﻿43.81167°N 79.06583°W,
Point Beach,2,"1,027",United States,44°16′52″N 87°32′12″W﻿ / ﻿44.28111°N 87.53667°W,
Prairie Island,2,"1,114",United States,44°37′18″N 92°37′59″W﻿ / ﻿44.62167°N 92.63306°W,
Qinshan,7,"4,101",China,30°26′08″N 120°57′23″E﻿ / ﻿30.43556°N 120.95639°E,[3][4]
Quad Cities,2,"1,774",United States,41°43′35″N 90°18′36″W﻿ / ﻿41.72639°N 90.31000°W,
Rajasthan,6,"1,085[note 37]",India,24°52′20″N 75°36′50″E﻿ / ﻿24.87222°N 75.61389°E,
Ringhals,4,"3,649",Sweden,57°15′35″N 12°06′39″E﻿ / ﻿57.25972°N 12.11083°E,
Rivne,4,"2,645",Ukraine,51°19′40″N 25°53′30″E﻿ / ﻿51.32778°N 25.89167°E,
Rostov,4,"3,922",Russia,47°35′58″N 42°22′19″E﻿ / ﻿47.59944°N 42.37194°E,
Saint-Alban,2,"2,670",France,45°24′16″N 04°45′16″E﻿ / ﻿45.40444°N 4.75444°E,[1][10]
Saint-Laurent,2,"1,830[note 38]",France,47°43′12″N 01°34′39″E﻿ / ﻿47.72000°N 1.57750°E,[1]
Saint Lucie,2,"1,678",United States,27°20′55″N 80°14′47″W﻿ / ﻿27.34861°N 80.24639°W,
Salem,2,"2,332",United States,39°27′46″N 75°32′08″W﻿ / ﻿39.46278°N 75.53556°W,
Sanmen,1,"1,000[note 39]",China,29°06′04″N 121°38′23″E﻿ / ﻿29.10111°N 121.63972°E,[3]
Seabrook,1,"1,247",United States,42°53′56″N 70°51′03″W﻿ / ﻿42.89889°N 70.85083°W,
Sendai,2,"1,692",Japan,31°50′01″N 130°11′23″E﻿ / ﻿31.83361°N 130.18972°E,[5]
Sequoyah,2,"2,278",United States,35°13′35″N 85°05′30″W﻿ / ﻿35.22639°N 85.09167°W,
Shika,2,"1,613",Japan,37°03′40″N 136°43′35″E﻿ / ﻿37.06111°N 136.72639°E,
Sizewell-B,1,"1,188",United Kingdom,52°12′48″N 01°37′07″E﻿ / ﻿52.21333°N 1.61861°E,
Smolensk,3,"2,775",Russia,54°10′09″N 33°14′48″E﻿ / ﻿54.16917°N 33.24667°E,
South Texas,2,"2,560",United States,28°47′44″N 96°02′56″W﻿ / ﻿28.79556°N 96.04889°W,
South Ukraine,3,"2,850",Ukraine,47°49′00″N 31°13′00″E﻿ / ﻿47.81667°N 31.21667°E,
Surry,2,"1,638",United States,37°09′56″N 76°41′52″W﻿ / ﻿37.16556°N 76.69778°W,
Susquehanna,2,"2,429",United States,41°05′20″N 76°08′56″W﻿ / ﻿41.08889°N 76.14889°W,
Taishan,1,"1,660[note 40]",China,21°54′34″N 112°58′45″E﻿ / ﻿21.90944°N 112.97917°E,[3]
Takahama,4,"3,220",Japan,35°31′20″N 135°30′17″E﻿ / ﻿35.52222°N 135.50472°E,[5]
Tarapur,4,"1,280",India,19°49′40″N 72°39′40″E﻿ / ﻿19.82778°N 72.66111°E,
Temelin,2,"1,926",Czech Republic,49°10′48″N 14°22′34″E﻿ / ﻿49.18000°N 14.37611°E,
Tianwan,3,"2,970[note 41]",China,34°41′13″N 119°27′35″E﻿ / ﻿34.68694°N 119.45972°E,[3][4]
Tihange,3,"3,016",Belgium,50°32′05″N 05°16′21″E﻿ / ﻿50.53472°N 5.27250°E,
Tokai,1,"1,060[note 42]",Japan,36°27′59″N 140°36′24″E﻿ / ﻿36.46639°N 140.60667°E,[5]
Tomari,3,"1,966",Japan,43°02′10″N 140°30′45″E﻿ / ﻿43.03611°N 140.51250°E,[5]
Torness,2,"1,205",United Kingdom,55°58′05″N 02°24′33″W﻿ / ﻿55.96806°N 2.40917°W,
Tricastin,4,"3,660",France,44°19′47″N 04°43′56″E﻿ / ﻿44.32972°N 4.73222°E,[1]
Trillo,1,"1,003",Spain,40°42′04″N 02°37′19″W﻿ / ﻿40.70111°N 2.62194°W,
Tsuruga,1,"1,108[note 43]",Japan,35°40′22″N 136°04′38″E﻿ / ﻿35.67278°N 136.07722°E,[5]
Turkey Point,2,"1,386",United States,25°26′03″N 80°19′50″W﻿ / ﻿25.43417°N 80.33056°W,
Vandellòs,1,"1,045[note 44]",Spain,40°57′05″N 00°52′00″E﻿ / ﻿40.95139°N 0.86667°E,
Vogtle,2,"2,302[note 45]",United States,33°08′35″N 81°45′57″W﻿ / ﻿33.14306°N 81.76583°W,
Waterford,1,"1,168",United States,29°59′43″N 90°28′16″W﻿ / ﻿29.99528°N 90.47111°W,
Watts Bar,2,"2,288",United States,35°36′10″N 84°47′22″W﻿ / ﻿35.60278°N 84.78944°W,
Wolf Creek,1,"1,160",United States,38°14′20″N 95°41′20″W﻿ / ﻿38.23889°N 95.68889°W,
Wolseong,6,"4,598",South Korea,35°42′40″N 129°28′30″E﻿ / ﻿35.71111°N 129.47500°E,
Yangjiang,5,"5,000[note 46]",China,21°42′35″N 112°15′38″E﻿ / ﻿21.70972°N 112.26056°E,[3]
Zaporizhzhia,6,"5,700",Ukraine,47°30′44″N 34°35′09″E﻿ / ﻿47.51222°N 34.58583°E,
